	msp_0019	msp_0023	msp_0041	msp_0128	msp_0141	msp_0293	msp_0351	msp_0377	msp_0436	msp_1126
MH0227_GL0066255	1	0	0	0	0	0	0	0	0	0
MH0094_GL0114509	1	0	0	0	0	0	0	0	0	0
MH0094_GL0113737	1	0	0	0	0	0	0	0	0	0
MH0387_GL0045439	1	0	0	0	0	0	0	0	0	0
MH0128_GL0083305	1	0	0	0	0	0	0	0	0	0
RA08_contig:gene_id_17127	1	0	0	0	0	0	0	0	0	0
MH0094_GL0137133	1	0	0	0	0	0	0	0	0	0
MH0109_GL0043062	1	0	0	0	0	0	0	0	0	0
MH0094_GL0079889	1	0	0	0	0	0	0	0	0	0
MH0094_GL0049650	1	0	0	0	0	0	0	0	0	0
MH0010_GL0031940	1	0	0	0	0	0	0	0	0	0
MH0094_GL0122136	1	0	0	0	0	0	0	0	0	0
MH0094_GL0121259	1	0	0	0	0	0	0	0	0	0
MH0010_GL0040012	1	0	0	0	0	0	0	0	0	0
MH0094_GL0039486	1	0	0	0	0	0	0	0	0	0
MH0094_GL0136030	1	0	0	0	0	0	0	0	0	0
MH0196_GL0175767	1	0	0	0	0	0	0	0	0	0
MH0094_GL0079890	1	0	0	0	0	0	0	0	0	0
MH0128_GL0051063	1	0	0	0	0	0	0	0	0	0
MH0253_GL0117524	1	0	0	0	0	0	0	0	0	0
MH0010_GL0037470	1	0	0	0	0	0	0	0	0	0
MH0094_GL0066099	1	0	0	0	0	0	0	0	0	0
MH0094_GL0027608	1	0	0	0	0	0	0	0	0	0
MH0094_GL0063543	1	0	0	0	0	0	0	0	0	0
MH0094_GL0003891	1	0	0	0	0	0	0	0	0	0
MH0094_GL0049500	1	0	0	0	0	0	0	0	0	0
MH0094_GL0091949	1	0	0	0	0	0	0	0	0	0
MH0109_GL0026096	1	0	0	0	0	0	0	0	0	0
MH0108_GL0044539	1	0	0	0	0	0	0	0	0	0
MH0109_GL0072220	1	0	0	0	0	0	0	0	0	0
V1.FI21_GL0025753	1	0	0	0	0	0	0	0	0	0
MH0094_GL0057616	1	0	0	0	0	0	0	0	0	0
MH0094_GL0030176	1	0	0	0	0	0	0	0	0	0
MH0227_GL0031597	1	0	0	0	0	0	0	0	0	0
AS34:gene_id_32700	1	0	0	0	0	0	0	0	0	0
MH0010_GL0018400	1	0	0	0	0	0	0	0	0	0
MH0097_GL0038145	1	0	0	0	0	0	0	0	0	0
MH0094_GL0023287	1	0	0	0	0	0	0	0	0	0
MH0010_GL0035335	1	0	0	0	0	0	0	0	0	0
AS34:gene_id_25385	1	0	0	0	0	0	0	0	0	0
MH0094_GL0094267	1	0	0	0	0	0	0	0	0	0
MH0330_GL0017271	1	0	0	0	0	0	0	0	0	0
MH0094_GL0121258	1	0	0	0	0	0	0	0	0	0
MH0094_GL0076752	1	0	0	0	0	0	0	0	0	0
MH0109_GL0070087	1	0	0	0	0	0	0	0	0	0
MH0094_GL0066103	1	0	0	0	0	0	0	0	0	0
MH0178_GL0097808	1	0	0	0	0	0	0	0	0	0
MH0094_GL0107620	1	0	0	0	0	0	0	0	0	0
MH0292_GL0051631	1	0	0	0	0	0	0	0	0	0
MH0169_GL0116718	1	0	0	0	0	0	0	0	0	0
MH0109_GL0048015	1	0	0	0	0	0	0	0	0	0
MH0094_GL0047166	1	0	0	0	0	0	0	0	0	0
MH0109_GL0007648	1	0	0	0	0	0	0	0	0	0
MH0094_GL0066102	1	0	0	0	0	0	0	0	0	0
MH0109_GL0007650	1	0	0	0	0	0	0	0	0	0
MH0094_GL0005451	1	0	0	0	0	0	0	0	0	0
764508039-stool1_GL0053925	1	0	0	0	0	0	0	0	0	0
HD-57:gene_id_38332	1	0	0	0	0	0	0	0	0	0
MH0094_GL0070629	1	0	0	0	0	0	0	0	0	0
763860675-stool1_GL0028404	1	0	0	0	0	0	0	0	0	0
MH0010_GL0000321	1	0	0	0	0	0	0	0	0	0
O2.UC47-1_GL0083631	1	0	0	0	0	0	0	0	0	0
MH0094_GL0113558	1	0	0	0	0	0	0	0	0	0
MH0094_GL0136324	1	0	0	0	0	0	0	0	0	0
MH0094_GL0057610	1	0	0	0	0	0	0	0	0	0
MH0094_GL0105775	1	0	0	0	0	0	0	0	0	0
O2.UC49-0_GL0115080	1	0	0	0	0	0	0	0	0	0
763496533-stool2_GL0063253	1	0	0	0	0	0	0	0	0	0
MH0094_GL0039277	1	0	0	0	0	0	0	0	0	0
MH0109_GL0019629	1	0	0	0	0	0	0	0	0	0
MH0109_GL0076027	1	0	0	0	0	0	0	0	0	0
SRA03_contig:gene_id_114213	1	0	0	0	0	0	0	0	0	0
MH0094_GL0023283	1	0	0	0	0	0	0	0	0	0
MH0438_GL0186660	1	0	0	0	0	0	0	0	0	0
MH0094_GL0052882	1	0	0	0	0	0	0	0	0	0
MH0094_GL0067037	1	0	0	0	0	0	0	0	0	0
MH0010_GL0031979	1	0	0	0	0	0	0	0	0	0
MH0094_GL0049757	1	0	0	0	0	0	0	0	0	0
MH0094_GL0092481	1	0	0	0	0	0	0	0	0	0
MH0094_GL0116508	1	0	0	0	0	0	0	0	0	0
MH0196_GL0119810	1	0	0	0	0	0	0	0	0	0
MH0128_GL0026192	1	0	0	0	0	0	0	0	0	0
MH0094_GL0058894	1	0	0	0	0	0	0	0	0	0
MH0094_GL0101138	1	0	0	0	0	0	0	0	0	0
AS34:gene_id_29424	1	0	0	0	0	0	0	0	0	0
MH0094_GL0122980	1	0	0	0	0	0	0	0	0	0
MH0109_GL0027646	1	0	0	0	0	0	0	0	0	0
MH0094_GL0123312	1	0	0	0	0	0	0	0	0	0
MH0109_GL0092711	1	0	0	0	0	0	0	0	0	0
MH0094_GL0033250	1	0	0	0	0	0	0	0	0	0
MH0094_GL0077051	1	0	0	0	0	0	0	0	0	0
MH0109_GL0056210	1	0	0	0	0	0	0	0	0	0
MH0094_GL0129894	1	0	0	0	0	0	0	0	0	0
765074482-stool1_GL0098684	1	0	0	0	0	0	0	0	0	0
