gene_name	ko
HD-2:gene_id_36673	K02536
V1.UC59-0_GL0127115	K03737
T2D-45A_GL0006599	K02536
MH0376_GL0045392	K06911
MH0376_GL0045392	K18930
MH0376_GL0045392	K00104
O2.UC30-1_GL0093677	K02003
MH0055_GL0010710	K19036
O2.UC52-0_GL0119545	K11927
V1.FI36_GL0076043	K03150
MH0131_GL0032876	K03273
MH0131_GL0032876	K15669
MH0131_GL0032876	K00966
AS133:gene_id_13221	K07792
MH0046_GL0053134	K09817
DLF008_GL0042635	K02124
MH0094_GL0072323	K02508
MH0094_GL0072323	K18954
HD-58:gene_id_5735	K00969
MH0227_GL0022282	K19424
O2.UC8-0_GL0057112	K12132
L105_gene_5523	K07636
L105_gene_5523	K07652
L105_gene_5523	K11383
L105_gene_5523	K07651
L105_gene_5523	K07646
HD-58:gene_id_10444	K02361
O2.UC8-0_GL0146324	K12999
O2.UC22-1_GL0130542	K13010
O2.UC22-1_GL0130542	K07806
O2.UC47-2_GL0061884	K10112
MH0071_GL0021947	K11755
L67_gene_1461	K00712
S_P1_gene_432224	K03831
S_P1_gene_432224	K15376
MH0289_GL0062117	K00986
MH0018_GL0013594	K06921
159207311-stool2_GL0199030	K19294
NOM020_GL0008646	K15125
L124_gene_46452	K02600
V1.UC60-0_GL0041926	K01179
V1.UC60-0_GL0041926	K01218
MH0078_GL0026566	K08151
MH0078_GL0026566	K03446
MH0078_GL0026566	K08153
MH0078_GL0026566	K19576
MH0311_GL0130701	K01624
MH0238_GL0180628	K03183
O2.UC8-0_GL0080749	K01270
MH0006_GL0033510	K02982
ED20A_GL0016503	K05339
MH0238_GL0075367	K01209
V1.CD50-0_GL0215734	K20866
V1.CD50-0_GL0215734	K21063
V1.CD16-0_GL0009562	K03657
V1.CD16-0_GL0009562	K03656
MH0236_GL0073495	K06405
L3_gene_18672	K01206
AS62:gene_id_22609	K01179
MH0068_GL0014489	K15923
MH0128_GL0078400	K21132
MH0128_GL0078400	K15538
SRA03_contig:gene_id_268770	K10254
MH0168_GL0110025	K04763
MH0168_GL0110025	K03733
MH0061_GL0043399	K16703
MH0061_GL0043399	K19424
O2.UC2-2_GL0089483	K01586
MH0013_GL0010760	K07165
T2D-45A_GL0138307	K06920
MH0010_GL0029280	K15532
RA09_contig:gene_id_120178	K14058
O2.UC30-2_GL0123408	K18369
O2.UC30-2_GL0123408	K00001
MH0227_GL0040048	K07023
MH0046_GL0054333	K03088
L70_gene_3414	K07165
L115_gene_9427	K00773
HD-43:gene_id_15516	K03596
T2D-45A_GL0046808	K01448
RA08_contig:gene_id_26197	K02232
MH0013_GL0032328	K01585
V1.CD2-0-PN_GL0084609	K15725
V1.CD2-0-PN_GL0084609	K12340
V1.CD2-0-PN_GL0084609	K03287
V1.CD2-0-PN_GL0084609	K18139
SRA03_contig:gene_id_50748	K07220
MH0001_GL0015381	K01144
H_P1_gene_200716	K03596
MH0376_GL0001458	K00605
HD-58:gene_id_8590	K00876
MH0238_GL0052900	K21471
MH0055_GL0005939	K21572
404239096-stool1_GL0077830	K00970
404239096-stool1_GL0077830	K00974
V1.CD7-0_GL0006058	K07452
H134_gene_12192	K02935
AS133:gene_id_18147	K10778
MH0292_GL0126065	K21573
L115_gene_75914	K01453
L115_gene_75914	K01286
L115_gene_75914	K21469
L115_gene_75914	K01467
V1.UC58-0_GL0120742	K09765
MH0308_GL0166250	K03088
L49_gene_35095	K03543
H65_gene_62059	K21572
MH0321_GL0058240	K03703
MH0059_GL0092948	K05785
MH0053_GL0002017	K04773
T2D-45A_GL0028468	K02343
MH0253_GL0028228	K02916
